Document Title,Abstract,Year,PDF Link,label
HTTP Programming Recipes for C# Bots,"The Hypertext Transfer Protocol (HTTP) allows information to be exchanged between
a web server and a web browser. C# allows you to program HTTP directly. HTTP programming
allows you to create programs that access the web much like a human user would. These
programs, which are called bots, can collect information or automate common web programming
tasks. This book presents a collection of very reusable recipes for C# bot programming.
This book covers many topics related to C# HTTP programming. Both secure and insecure
HTTP communications are covered, as well as HTTP authentication. Learn to interact
with HTTP forms and support both HTTP POST and HTTP GET requests. Collect data from
a wide array of HTML constructs, such as tables, and lists. Learn about advanced topics
that complicate the life of a bot, such as AJAX and Javascript. Also learn about the
ethical use of bots, and when bots should not be used. This book also introduces the
Heaton Research Spider. The Heaton Research Spider is an open source spider framework.
Using the Heaton Research Spider you can create spiders that will crawl a web site,
much like a real spider crawls the web. The Heaton Research Spider is available in
both Java and Microsoft Dot Net form.",2007,,no
Explainable Software Bot Contributions: Case Study of Automated Bug Fixes,"In a software project, esp. in open-source, a contribution is a valuable piece of
work made to the project: writing code, reporting bugs, translating, improving documentation,
creating graphics, etc. We are now at the beginning of an exciting era where software
bots will make contributions that are of similar nature than those by humans.Dry contributions,
with no explanation, are often ignored or rejected, because the contribution is not
understandable per se, because they are not put into a larger context, because they
are not grounded on idioms shared by the core community of developers.We have been
operating a program repair bot called Repairnator for 2 years and noticed the problem
of ""dry patches"": a patch that does not say which bug it fixes, or that does not explain
the effects of the patch on the system. We envision program repair systems that produce
an ""explainable bug fix"": an integrated package of at least 1) a patch, 2) its explanation
in natural or controlled language, and 3) a highlight of the behavioral difference
with examples.In this paper, we generalize and suggest that software bot contributions
must explainable, that they must be put into the context of the global software development
conversation.",2019,https://dx.doi.org/10.1109/BotSE.2019.00010,no
WikiGateway: A Library for Interoperability and Accelerated Wiki Development,"WikiGateway is an open-source suite of tools for automated interaction with wikis:•
Python and Perl modules with functions like getPage, putPage, getRecentChanges, and
more.• A mechanism to add DAV, Atom, or XMLRPC capabilities to any supported wiki
server.• A command-line tool with functionality similar to the Perl and Python modules.•
Demo applications built on top of these tools include a wiki copy command, a spam-cleaning
bot, and a tool to recursively upload text files inside a directory structure as wiki
pages.All WikiGateway tools are compatible with a number of different wiki engines.
Developers can use WikiGateway to hide the differences between wiki engines and build
applications which interoperate with many different wiki engines.",2005,https://dx.doi.org/10.1145/1104973.1104979,no
Low-Code from Frontend to Backend: Connecting Conversational User Interfaces to Backend Services via a Low-Code IoT Platform," Current chatbot development platforms and frameworks facilitate setting up the language
and dialog part of chatbots, while connecting it to backend services and business
functions requires substantial manual coding effort and programming skills. This paper
proposes an approach to overcome this situation. It proposes an architecture with
a chatbot as frontend using an IoT (Internet of Things) platform as a middleware for
connections to backend services. Specifically, it elaborates and demonstrates how
to combine a chatbot developed on the open source development platform Rasa with the
open source platform Node-RED, allowing low-code or no-code development of a transactional
conversational user interface from frontend to backend.",2021,https://dx.doi.org/10.1145/3469595.3469632,no
RefBot: Intelligent Software Refactoring Bot,"The adoption of refactoring techniques for continuous integration received much less
attention from the research community comparing to root-canal refactoring to fix the
quality issues in the whole system. Several recent empirical studies show that developers,
in practice, are applying refactoring incrementally when they are fixing bugs or adding
new features. There is an urgent need for refactoring tools that can support continuous
integration and some recent development processes such as DevOps that are based on
rapid releases. Furthermore, several studies show that manual refactoring is expensive
and existing automated refactoring tools are challenging to configure and integrate
into the development pipelines with significant disruption cost.In this paper, we
propose, for the first time, an intelligent software refactoring bot, called RefBot.
Integrated into the version control system (e.g. GitHub), our bot continuously monitors
the software repository, and it is triggered by any ""open"" or ""merge"" action on pull
requests. The bot analyzes the files changed during that pull request to identify
refactoring opportunities using a set of quality attributes then it will find the
best sequence of refactorings to fix the quality issues if any. The bot recommends
all these refactorings through an automatically generated pull-request. The developer
can review the recommendations and their impacts in a detailed report and select the
code changes that he wants to keep or ignore. After this review, the developer can
close and approve the merge of the bot's pull request. We quantitatively and qualitatively
evaluated the performance and effectiveness of RefBot by a survey conducted with experienced
developers who used the bot on both open source and industry projects.",2019,https://dx.doi.org/10.1109/ASE.2019.00081,no
Clustering Android Malware Families by Http Traffic,"Due to its popularity and open-source nature, Android is the mobile platform that
has been targeted the most by malware that aim to steal personal information or to
control the users devices. More specifically, mobile botnets are malware that allow
an attacker to remotely control the victims devices through different channels like
HTTP, thus creating malicious networks of bots. In this paper, we show how it is possible
to effectively group mobile botnets families by analyzing the HTTP traffic they generate.
To do so, we create malware clusters by looking at specific statistical information
that are related to the HTTP traffic. This approach also allows us to extract signatures
with which it is possible to precisely detect new malware that belong to the clustered
families. Contrarily to x86 malware, we show that using fine-grained HTTP structural
features do not increase detection performances. Finally, we point out how the HTTP
information flow among mobile bots contains more information when compared to the
one generated by desktop ones, allowing for a more precise detection of mobile threats.",2015,https://dx.doi.org/10.1109/MALWARE.2015.7413693,no
A Comparison of Player/Stage/Gazebo and Microsoft Robotics Developer Studio,"Robotic development environments are a key technology for enabling the rapid advancement
of the state of robotics. This paper compares two prominent robotic development environments
to examine the limitations in the current state of the art. The first is Player/Stage/Gazebo
which is a well established open source project. The second is Microsoft Robotics
Developer Studio, a fairly new offering from a major player in the software industry.
The comparison was done in two ways: 1) by examining the documented features and 2)
examining usability experience gained while implementing two common mobile autonomous
robotic tasks, wandering and foraging. The tasks were executed in simulation and on
a 914 PC-BOT from White Box Robotics. Quantitative results were generated using a
set of well defined feature and usability criteria. These results were then further
analyzed by a qualitative analysis of the entire process it took to implement both
tasks.",2011,https://dx.doi.org/10.1145/2016039.2016062,no
Why Developers Are Slacking Off: Understanding How Software Teams Use Slack,"Slack is a modern communication platform for teams that is seeing wide and rapid adoption
by software develop-ment teams. Slack not only facilitates team messaging and archiving,
but it also supports a wide plethora of inte-grations to external services and bots.
We have found that Slack and its integrations (i.e., bots) are playing an increas-ingly
significant role in software development, replacing email in some cases and disrupting
software development processes. To understand how Slack impacts development team dynamics,
we designed an exploratory study to inves-tigate how developers use Slack and how
they benefit from it. We find that developers use Slack for personal, team-wide and
community-wide purposes. Our research also reveals that developers use and create
diverse integrations (called bots) to support their work. This study serves as the
first step towards understanding the role of Slack in sup-porting software engineering.",2016,https://dx.doi.org/10.1145/2818052.2869117,no
Deploying Speech Interfaces to the Masses,"Speech systems are typically deployed either over phones, e.g. IVR agents, or on embodied
agents, e.g. domestic robots. Most of these systems are limited to a particular platform
i.e., only accessible by phone or in situated interactions. This limits scalability
and potential domain of operation. Our goal is to make speech interfaces more widely
available, and we are proposing a new approach for deploying such interfaces on the
internet along with traditional platforms. In this work, we describe a lightweight
speech interface architecture built on top of Freeswitch, an open source softswitch
platform. A softswitch enables us to provide users with access over several types
of channels (phone, VOIP, etc.) as well as support multiple users at the same time.
We demonstrate two dialog applications developed using this approach: 1) Virtual Chauffeur:
a voice based virtual driving experience and 2) Talkie: a speech-based chat bot.",2013,https://dx.doi.org/10.1145/2451176.2451189,no
The Network Neutrality Bot Architecture: A Preliminary Approach for Self-Monitoring of Internet Access QoS,"The ""network neutrality bot"" (Neubot) is an evolving software architecture for distributed
Internet access quality and network neutrality measurements. The core of this architecture
is an open-source agent that ordinary users may install on their computers to gain
a deeper understanding of their Internet connections. The agent periodically monitors
the quality of service provided to the user, running background active transmission
tests that emulate different application-level protocols. The results are then collected
on a central server and made publicly available to allow constant monitoring of the
state of the Internet by interested parties. In this article we describe how we enhanced
Neubot architecture both to deploy a distributed broadband speed test and to allow
the development of plug-in transmission tests. In addition, we start a preliminary
discussion on the results we have collected in the first three months after the first
public release of the software.",2011,https://dx.doi.org/10.1109/ISCC.2011.5983857,no
Using RDF to Describe Networks,"Conventions such as iGrid 2005 and SuperComputing show that there is increasing demand
for more service options on networks. For such networks, large teams of experts are
needed to configure and manage them. In order to make the full potential of hybrid
networks available to the ordinary user, the complexity must be reduced.This paper
presents the idea of the Network Description Language (NDL), which builds on Semantic
Web techniques to create a distributed Topology Knowledge Base (TKB). The TKB can
provide a collection of reachability graphs, showing connectivity rules among physical
and/or virtual entities.Latching onto the Semantic Web provides network management
with a new breed of tools--bots, compilers, browsers, both commercial off-the-shelf
(COTS) and open source. The approach appears to be applicable to the Global Lambda
Integrated Facility (GLIF) as well as other experimental communities.",2006,https://dx.doi.org/10.1016/j.future.2006.03.022,no
Current and Future Bots in Software Development,"Bots that support software development (""DevBots"") are seen as a promising approach
to deal with the ever-increasing complexity of modern software engineering and development.
Existing DevBots are already able to relieve developers from routine tasks such as
building project images or keeping dependencies up-to-date. However, advances in machine
learning and artificial intelligence hold the promise of future, significantly more
advanced, DevBots. In this paper, we introduce the terminology of contemporary and
ideal DevBots. Contemporary DevBots represent the current state of practice, which
we characterise using a facet-based taxonomy. We exemplify this taxonomy using 11
existing, industrial-strength bots. We further provide a vision and definition of
future (ideal) DevBots, which are not only autonomous, but also adaptive, as well
as technically and socially competent. These properties may allow ideal DevBots to
act more akin to artificial team mates than simple development tools.",2019,https://dx.doi.org/10.1109/BotSE.2019.00009,no
Artificial Intelligence Empowered Domain Modelling Bot,"With the increasing adoption of Model-Based Software Engineering (MBSE) to handle
the complexity of modern software systems in industry and inclusion of modelling topics
in academic curricula, it is no longer a question of whether to use MBSE but how to
use it. Acquiring modelling skills to properly build and use models with the help
of modelling formalisms are non-trivial learning objectives, which novice modellers
struggle to achieve for several reasons. For example, it is difficult for novice modellers
to learn to use their abstraction abilities. Also, due to high student-teacher ratios
in a typical classroom setting, novice modellers may not receive personalized and
timely feedback on their modelling decisions. These issues hinder the novice modellers
in improving their modelling skills. Furthermore, a lack of modelling skills among
modellers inhibits the adoption and practice of modelling in industry. Therefore,
an automated and intelligent solution is required to help modellers and other practitioners
in improving their modelling skills. This doctoral research builds an automated and
intelligent solution for one modelling formalism - domain models, in an avatar of
a domain modelling bot. The bot automatically extracts domain models from problem
descriptions written in natural language and generates intelligent recommendations,
particularly for teaching modelling literacy to novice modellers. For this domain
modelling bot, we leverage the capabilities of various Artificial Intelligence techniques
such as Natural Language Processing and Machine Learning.",2020,https://dx.doi.org/10.1145/3417990.3419486,no
Beginning Robotics Programming in Java with LEGO Mindstorms,"Discover the difference between making a robot move and making a robot think. Using
Mindstorms EV3 and LeJOSan open source project for Java Mindstorms projectsyoull learn
how to create Artificial Intelligence for your bot. Your robot will learn how to problem
solve, how to plan, how to learn, and how to communicate. Along the way, youll learn
about classical AI algorithms for teaching hardware how to think, algorithms that
you can then apply to your own robotic inspirations. If youve ever wanted to learn
about robotic intelligence in a practical, playful way, Beginning Robotics Programming
in Java with LEGO Mindstormsis for you. What youll learn: Build your first LEGO EV3
robot step-by-step Install LeJOS and its firmware on Lego EV3 Create and upload your
first Java Program into Lego EV3 LeJOS API FunctionsJava Programming for MotorsRobotics
Behavior Programming with SensorsCommon AI Algorithms like DFS, BFS, and Dijkstras
AlgorithmJava Multithreading Programming with Lego EV3 Who this book is for: Students,
teachers, and makers with basic Java programming experience who want to learn how
to apply Artificial Intelligence to a practical robotic system.",2016,,no
Investigating the Benefits of Applying Artificial Intelligence Techniques to Enhance Learning Experiences in Capstone Courses,"This research seeks to improve the learning experiences in Software Engineering Programs
using Virtual Assistants based on Artificial Intelligence (AI) models. Students of
Software Engineering Capstone Courses face real world situations and challenges that
grant them valuable experiences for their professional preparation. However, since
this knowledge is acquired through real-life exposure projects, it is difficult to
transmit it among different generations of students. In consequence, all the gained
knowledge, experiences, and computer codes developed are lost and cannot be reused
outside the project context when they finish their assignment at the end of the semester.
To address this challenge, this thesis considers the development of AI based virtual
assistants applied in higher education, in a form of a lesson learned system, a recommender
system integrated with a chatbot, to help students , solve problems similar to those
they face in the different stages of their software project development by recommending
previous lessons learned. The innovative contribution lies in the implementation of
the described techniques from the state-of-art artificial intelligence field in an
educational platform with the goal to leverage the experience gained during years
of the teaching a Capstone Course in Software Engineering to new student generations
who might benefit from this universal knowledge gained previously, in order to assist
software engineering students to enhance their learning experience.",2021,https://dx.doi.org/10.1145/3446871.3469770,no
DigiMo - towards Developing an Emotional Intelligent Chatbot in Singapore,"The paper is a work in progress report on the development of DigiMo, a chatbot with
emotional intelligence. The chatbot development is based on a data collection and
annotations of real dialogues between local Singaporeans expressing genuine emotions.
The models were trained with cakechat, an open source sequence-to-sequence deep neural
network. Perplexity measurements from automatic testing, as well as feedback from
6 expert evaluators confirmed the chatbot answers have high accuracy.",2020,https://dx.doi.org/10.1145/3391203.3391210,no
APIBot: Question Answering Bot for API Documentation," As the carrier of Application Programming Interfaces (APIs) knowledge, API documentation
plays a crucial role in how developers learn and use an API. It is also a valuable
information resource for answering API-related questions, especially when developers
cannot find reliable answers to their questions online/offline. However, finding answers
to API-related questions from API documentation might not be easy because one may
have to manually go through multiple pages before reaching the relevant page, and
then read and understand the information inside the relevant page to figure out the
answers. To deal with this challenge, we develop APIBot, a bot that can answer API
questions given API documentation as an input. APIBot is built on top of SiriusQA,
the QA system from Sirius, a state of the art intelligent personal assistant. To make
SiriusQA work well under software engineering scenario, we make several modifications
over SiriusQA by injecting domain specific knowledge. We evaluate APIBot on 92 API
questions, answers of which are known to be present in Java 8 documentation. Our experiment
shows that APIBot can achieve a Hit@5 score of 0.706. ",2017,,no
Automatic Contract Insertion with CCBot,"Existing static analysis tools require significant programmer effort. On large code
bases, static analysis tools produce thousands of warnings. It is unrealistic to expect
users to review such a massive list and to manually make changes for each warning.
To address this issue we propose CCBot (short for <bold>C</bold>ode<bold>C</bold>ontracts
<bold>Bot</bold>), a new tool that applies the results of static analysis to existing
code through automatic code transformation. Specifically, CCBot instruments the code
with method preconditions, postconditions, and object invariants which detect faults
at runtime or statically using a static contract checker. The only configuration the
programmer needs to perform is to give CCBot the file paths to code she wants instrumented.
This allows the programmer to adopt contract-based static analysis with little effort.
CCBot's instrumented version of the code is guaranteed to compile if the original
code did. This guarantee means the programmer can deploy or test the instrumented
code immediately without additional manual effort. The inserted contracts can detect
common errors such as null pointer dereferences and out-of-bounds array accesses.
CCBot is a robust large-scale tool with an open-source C# implementation. We have
tested it on real world projects with tens of thousands of lines of code. We discuss
several projects as case studies, highlighting undiscovered bugs found by CCBot, including
22 new contracts that were accepted by the project authors.",2017,https://dx.doi.org/10.1109/TSE.2016.2625248,no
Turi: Chatbot Software for Schools in the Turing Centenary,"We describe a workshop designed for 11-19 year-olds that considers the nature of intelligence
and introduces the Turing test in various ways.Chatbots as mimics of intelligence
are considered at length. Pupils are invited to use our system Turi in which they
can build and test their own chatbot.The materials are free, open source and available
for all to download [1].",2012,https://dx.doi.org/10.1145/2481449.2481489,no
From Open-Source Software to Wikipedia: `Backgrounding' Trust by Collective Monitoring and Reputation Tracking,"Open-content communities that focus on co-creation without requirements for entry
have to face the issue of institutional trust in contributors. This research investigates
the various ways in which these communities manage this issue. It is shown that communities
of open-source software--continue to--rely mainly on hierarchy (reserving write-access
for higher echelons), which substitutes (the need for) trust. Encyclopedic communities,
though, largely avoid this solution. In the particular case of Wikipedia, which is
confronted with persistent vandalism, another arrangement has been pioneered instead.
Trust (i.e. full write-access) is `backgrounded' by means of a permanent mobilization
of Wikipedians to monitor incoming edits. Computational approaches have been developed
for the purpose, yielding both sophisticated monitoring tools that are used by human
patrollers, and bots that operate autonomously. Measures of reputation are also under
investigation within Wikipedia; their incorporation in monitoring efforts, as an indicator
of the trustworthiness of editors, is envisaged. These collective monitoring efforts
are interpreted as focusing on avoiding possible damage being inflicted on Wikipedian
spaces, thereby being allowed to keep the discretionary powers of editing intact for
all users. Further, the essential differences between backgrounding and substituting
trust are elaborated. Finally it is argued that the Wikipedian monitoring of new edits,
especially by its heavy reliance on computational tools, raises a number of moral
questions that need to be answered urgently.",2014,https://dx.doi.org/10.1007/s10676-014-9342-9,no
Design and Implementation of Live SD Acquisition Tool in Android Smart Phone,"From the end of 2007, the open-source characteristic of Android platform has been
the most competitive one in the smart phone market. According to recent statistics
from Gartner, Android s market share in February 2010 is 3.9%, rises to 17.2% in August
in the same year, and reaches 22.7% in February 2011, which only falls behind Nokia
s by 14.9%. From its skyrocketing growth rate, it can be expected that Google s Android
operating system would become the dominate mobile platform. However, high market share
comes with problems. For instance, in March 2011, Lookout, an information security
company shows Dorid Dream will make the Android phones become the media of Bot Network.
The ever-changing criminal conduct continuously challenges how well the present digital
forensics could react. Data acquisition is an important part in mobile phone forensics.
As the mobile forensic software becomes more mature and popular, most of them are
now facing the same problem where the internal collecting tools must be installed
in the mobile phones first so the data collecting could be started in turn. Whether
this process is against the concept of protecting the original crime scene in forensics
is questionable. A new concept called Live SD is therefore introduced in this work.
It utilizes the concept of data recovery to perform physical data acquisition in Android
smart phones. This data-acquisition methodology differs from the current ones in most
mobile forensics software and can effectively perform the recovery of the deleted
data.",2011,https://dx.doi.org/10.1109/ICGEC.2011.46,no
Toward an Empirical Theory of Feedback-Driven Development,"Software developers today crave for feedback, be it from their peers or even bots
in the form of code review, static analysis tools like their compiler, or the local
or remote execution of their tests in the Continuous Integration (CI) environment.
With the advent of social coding sites like GitHub and tight integration of CI services
like Travis CI, software development practices have fundamentally changed. Despite
a highly changed software engineering landscape, however, we still lack a suitable
description of an individual's contemporary software development practices, that is
how an individual code contribution comes to be. Existing descriptions like the v-model
are either too coarse-grained to describe an individual contributor's workflow, or
only regard a sub-part of the development process like Test-Driven Development. In
addition, most existing models are pre- rather than de-scriptive. By contrast, in
our thesis, we perform a series of empirical studies to describe the individual constituents
of Feedback-Driven Development (FDD) and then compile the evidence into an initial
framework on how modern software development works. Our thesis culminates in the finding
that feedback loops are the characterizing criterion of contemporary software development.
Our model is flexible enough to accommodate a broad bandwidth of contemporary workflows,
despite large variances in how projects use and configure parts of FDD.",2018,https://dx.doi.org/10.1145/3183440.3190332,no
Session Details: Developers Track,"It is our great pleasure to welcome you to the rebooted Developers Day, at with WWW
2016.The success of the World Wide Web depends on its developers. From Hypertext and
Web Browsers to the APIs that extend the capabilities of the Web, developers have
played a very important role in making the Web as ubiquitous as it is today. To celebrate
this great driving force behind the Web, we have rebooted the Developers Day at the
World Wide Web Conference.The presenters at Developers Day are developers who have
interesting open-source software to showcase to the Web developer community. The submissions
that were accepted for presentation clearly showed an innovative use of technology,
a potential to advance the state of the art of the Web, and a real-world application
of the software. Some of the presentations include social bots, Web-based payment
protocols, collaborative web environments, tracking changes in large knowledge organization
systems, and testing frameworks suited for the Web. All of these topics are timely
and are of interest to the general Web developer community.The program for the Developers
Day consists of a round of lightning talks followed by Birds of a Feather (BoF) sessions
where attendees are able to get an in-depth look at the software presented in the
form of a hands-on tutorial as well as a discussion of open challenges, next steps,
and application areas. We believe that such developer discourse is essential for the
advancement of the Web.",2016,,no
Is It Possible to Use Chatbot for the Chinese Word Segmentation?,"A word is the smallest item in Natural Language Processing. However, there is no obvious
boundary for Chinese words. How to segment Chinese words always obstructs Chinese
researches and applications. Nowadays, a neural network model, Seq2Seq with LSTM,
is well-known for translation or chatbot application. In this paper, we try to transform
the Chinese word segmentation problem into a translation problem. And we utilized
an open-source chatbot to simulate the translation task. In our experimental results,
we can produce similar Chinese word segmentation results when we provide training
data which is automatically generated from famous Chinese word segmentation services.",2019,https://dx.doi.org/10.1145/3342827.3342836,no
Leveraging the SIP Load Balancer to Detect and Mitigate DDos Attacks,"SIP-based Voice Over IP(VoIP) network is becoming predominant in current and future
communications. Distributed Denial of service attacks pose a serious threat to VOIP
network security. SIP servers are victims of DDos attacks. The major aim of the DDos
attacks is to avoid legitimate users to access resources of SIP servers. Distributed
Denial of service attacks target the VOIP network by deploying bots at different locations
by injecting malformed packets and even they halt the entire VOIP service causes degradation
of QoS(Quality of Service). DDos attacks are easy to launch and quickly drain computational
resources of VOIP network and nodes. Detecting DDos attacks is a challenging and extremely
difficult due to its varying strategy and scope of attackers. Many DDos detection
and prevention schemes are deployed in VOIP networks but they are not complete working
in both realtime and offline modes. They are inefficient in detecting dynamic and
low-rate DDos attacks and even fail when the attack is launched by simultaneously
manipulating multiple SIP attributes. In this paper we propose a novel scheme based
on Hellinger distance(HD) to detect low-rate and multi-attribute DDos attacks. Usually
DDos detection and mitigations schemes are implemented in SIP proxy. But we leverage
the SIP load balancer to fight against DDos by using existing load balancing features.
We have implemented the proposed scheme by modifying leading open source kamailio
SIP proxy server. We have evaluated our scheme by experimental test setup and found
results are outperforming the existing DDos prevention schemes in terms of detection
rate, system overhead and false-positive alarms.",2015,https://dx.doi.org/10.1109/ICGCIoT.2015.7380646,no
Collaborative Modelling: Chatbots or On-Line Tools? An Experimental Study,"Modelling is a fundamental activity in software engineering, which is often performed
in collaboration. For this purpose, on-line tools running on the cloud are frequently
used. However, recent advances in Natural Language Processing have fostered the emergence
of chatbots, which are increasingly used for all sorts of software engineering tasks,
including modelling. To evaluate to what extent chatbots are suitable for collaborative
modelling, we conducted an experimental study with 54 participants, to evaluate the
usability of a modelling chatbot called SOCIO, comparing it with the on-line tool
Creately. We employed a within-subjects cross-over design of 2 sequences and 2 periods.
Usability was determined by attributes of efficiency, effectiveness, satisfaction
and quality of the results. We found that SOCIO saved time and reduced communication
effort over Creately. SOCIO satisfied users to a greater extent than Creately, while
in effectiveness results were similar. With respect to diagram quality, SOCIO outperformed
Creately in terms of precision, while solutions with Creately had better recall and
perceived success. However, in terms of accuracy and error scores, both tools were
similar.",2020,https://dx.doi.org/10.1145/3383219.3383246,no
Security in Computing (4th Edition),"The New State-of-the-Art in Information Security: Now Covers the Economics of Cyber
Security and the Intersection of Privacy and Information SecurityFor years, IT and
security professionals and students have turned to Security in Computing as the definitive
guide to information about computer security attacks and countermeasures. In their
new fourth edition, Charles P. Pfleeger and Shari Lawrence Pfleeger have thoroughly
updated their classic guide to reflect today's newest technologies, standards, and
trends.The authors first introduce the core concepts and vocabulary of computer security,
including attacks and controls. Next, the authors systematically identify and assess
threats now facing programs, operating systems, database systems, and networks. For
each threat, they offer best-practice responses.Security in Computing, Fourth Edition,
goes beyond technology, covering crucial management issues faced in protecting infrastructure
and information. This edition contains an all-new chapter on the economics of cybersecurity,
explaining ways to make a business case for security investments. Another new chapter
addresses privacy--from data mining and identity theft, to RFID and e-voting.New coverage
also includes Programming mistakes that compromise security: man-in-the-middle, timing,
and privilege escalation attacks Web application threats and vulnerabilities Networks
of compromised systems: bots, botnets, and drones Rootkits--including the notorious
Sony XCP Wi-Fi network security challenges, standards, and techniques New malicious
code attacks, including false interfaces and keystroke loggers Improving code quality:
software engineering, testing, and liability approaches Biometric authentication:
capabilities and limitations Using the Advanced Encryption System (AES) more effectively
Balancing dissemination with piracy control in music and other digital content Countering
new cryptanalytic attacks against RSA, DES, and SHA Responding to the emergence of
organized attacker groups pursuing profit",2006,,no
Feature Engineering for Machine Learning and Data Analytics,"Feature engineering plays a vital role in big data analytics. Machine learning and
data mining algorithms cannot work without data. Little can be achieved if there are
few features to represent the underlying data objects, and the quality of results
of those algorithms largely depends on the quality of the available features. Feature
Engineering for Machine Learning and Data Analytics provides a comprehensive introduction
to feature engineering, including feature generation, feature extraction, feature
transformation, feature selection, and feature analysis and evaluation. The book presents
key concepts, methods, examples, and applications, as well as chapters on feature
engineering for major data types such as texts, images, sequences, time series, graphs,
streaming data, software engineering data, Twitter data, and social media data. It
also contains generic feature generation approaches, as well as methods for generating
tried-and-tested, hand-crafted, domain-specific features. The first chapter defines
the concepts of features and feature engineering, offers an overview of the book,
and provides pointers to topics not covered in this book. The next six chapters are
devoted to feature engineering, including feature generation for specific data types.
The subsequent four chapters cover generic approaches for feature engineering, namely
feature selection, feature transformation based feature engineering, deep learning
based feature engineering, and pattern based feature generation and engineering. The
last three chapters discuss feature engineering for social bot detection, software
management, and Twitter-based applications respectively. This book can be used as
a reference for data analysts, big data scientists, data preprocessing workers, project
managers, project developers, prediction modelers, professors, researchers, graduate
students, and upper level undergraduate students. It can also be used as the primary
text for courses on feature engineering, or as a supplement for courses on machine
learning, data mining, and big data analytics.",2018,,no
Network of Knowledge: Wikipedia as a Sociotechnical System of Intelligence,"The purpose of this study was to explore the codependencies of the social and technical
structures that yield Wikipedia the website and Wikipedia the community. In doing
so, the research investigated the implications of such a sociotechnical system for
the maintenance of the project and the emergence of collective intelligence. Using
a theoretical framework informed by digital media studies, science and technology
studies, and the political economy of communication, this study examined the material
and ideological conditions in which Wikipedia has developed. The study's guiding research
questions addressed the nature of Wikipedia's sociotechnical system and potential
for collective intelligence, as well as the historical development of the project's
technical infrastructure and the state of its technology-assisted collaboration. A
mainly qualitative multi-method research approach was employed, including document
analysis, semi-structured interviewing, and social network analysis. A plethora of
documents were carefully selected and examined to explore how and why decisions were
made, policies implemented, and technologies adopted on the site. Additionally, 45
interviews were conducted with members of Wikipedia's technical community to understand
the relationships between social and technical aspects of the project and the motivations
of programmers who contribute automated tools. Finally, social network measures and
visualizations were used to interrogate notions of collaboration and make more transparent
the centrality of technology to the content creation process. The study revealed that
Wikipedia's technical development has been shaped by the dueling ideologies of the
open-source software movement and postindustrial capitalism. Its sociotechnical system
features the complex collaboration of human contributors, automated programs, social
bureaucracy, and technical protocol, each of which conditions the existence and meaning
of the others. In addition, the activity on Wikipedia fits established models of collective
intelligence and suggests the emergence of a cyberculture, or culturally informed
shared intelligence, unique to the digital media context. Software robots (bots) are
central actors in this system and are explored in detail throughout this research.",2012,,no
Defeating Line-Noise CAPTCHAs with Multiple Quadratic Snakes,"Optical character recognition (OCR) is one of the fundamental problems in artificial
intelligence and image processing, but recent progress in OCR represents a security
challenge for Web sites that throttle requests with image based CAPTCHAs (Completely
Automated Public Turing Tests to Tell Computers and Humans Apart). A CAPTCHA is challenge-response
test placed within web forms to determine whether the user is human. Unfortunately,
algorithms capable of solving image based CAPTCHAs can be used to create spam accounts
and design malicious denial of service (DoS) attacks, causing financial and social
damage. The problem of defeating digital image CAPTCHAs is thus twofold. On the one
hand, it is an important problem in artificial intelligence and image processing.
On the other hand, publicly available CAPTCHAs that are not tested against state of
the art machine recognition algorithms may make the systems vulnerable to attack by
software bots. This paper considers a very important subclass of text CAPTCHAs, those
characterized by salt and pepper noise combined with line (curve) noise. Thus far,
attacks on CAPTCHAs with this type of noise have used relatively simple image processing
methods with some success, but state-of-the-art segmentation methods have not been
fully exploited. In this paper, we propose and benchmark two strong segmentation methods.
The first method is a modification of a multiple quadratic snake proposed for road
extraction from satellite images. The second competing method is a boundary tracing
routine available in the OpenCV open source library. A first numerical experiment
indicates excellent accuracy for both methods. A second experiment on human recognition
shows that the CAPTCHAs used in the study are already near the threshold of being
too hard for humans. Finally, a third numerical experiment presents a more difficult
set of CAPTCHAs with the addition of anti-binarization methods. The snake-based method
is shown to be more resilient to anti-binarization schemes than boundary tracing and
state-of-the art projection-based attacks on CAPTCHAs. Since CAPTCHAs corrupted by
small line noise are shown to be difficult for humans and relatively easy for our
algorithm, CAPTCHA designers should introduce more challenging distortions into their
CAPTCHAs, lest the security of systems based on them be compromised.",2013,https://dx.doi.org/10.1016/j.cose.2013.05.003,no
Should I Stale or Should I Close? An Analysis of a Bot That Closes Abandoned Issues and Pull Requests,"On GitHub, projects use bots to automate predefined and repetitive tasks related to
issues and pull requests. Our research investigates the adoption of the stale bot,
which helps maintainers triaging abandoned issues and pull requests. We analyzed the
bots' configuration settings and their modifications over time. These settings define
the time for tagging issues and pull request as stale and closing them. We collected
data from 765 OSS projects hosted on GitHub. Our results indicate that most of the
studied projects made no more than three modifications in the configurations file,
issues tagged as bug reports are exempt from being considered stale, while the same
occurs with pull requests that need some input to be processed.",2019,https://dx.doi.org/10.1109/BotSE.2019.00018,no
