BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5,CI1 – Idioma Inglês,CI2 – Data de publicação (qualquer),CI3 – peer reviewed,CI4 – Disponível para download,CI5 – Assunto bots conversacionais,CI6 – Assunto engenharia de software,CE1 – Estudo duplicado,CE2 – Já existe replicação mais recente,CE3 – Bots não conversacionais,,,,
6,,Chatterjee2021,"Chatterjee, Preetha; Damevski, Kostadin; Pollock, Lori",Automatic Extraction of Opinion-Based Q amp;A from Online Developer Chats,,,,May,1260-1272,2021,,,,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),,,,,,,,,,,,"Virtual conversational assistants designed specifically for software engineers could have a huge impact on the time it takes for software engineers to get help. Research efforts are focusing on virtual assistants that support specific software development tasks such as bug repair and pair programming. In this paper, we study the use of online chat platforms as a resource towards collecting developer opinions that could potentially help in building opinion Q&A systems, as a specialized instance of virtual assistants and chatbots for software engineers. Opinion Q&A has a stronger presence in chats than in other developer communications, thus mining them can provide a valuable resource for developers in quickly getting insight about a specific development topic (e.g., What is the best Java library for parsing JSON?). We address the problem of opinion Q&A extraction by developing automatic identification of opinion-asking questions and extraction of participants' answers from public online developer chats. We evaluate our automatic approaches on chats spanning six programming communities and two platforms. Our results show that a heuristic approach to opinion-asking questions works well (.87 precision), and a deep learning approach customized to the software domain outperforms heuristics-based, machine-learning-based and deep learning for answer extraction in community question answering.",,Deep learning;Virtual assistants;Programming;Maintenance engineering;Software;Task analysis;Software engineering;opinion question-answering system;public chats;opinion-asking question;answer extraction,,,,,,,,,,,,,,,
6,9780769544496,Chen2011,"Chen, Sheng-Wen; Yang, Chung-Huang; Liu, Chien-Tsung",Design and Implementation of Live SD Acquisition Tool in Android Smart Phone,,,,,157–162,2011,USA,,https://doi.org/10.1109/ICGEC.2011.46,Proceedings of the 2011 Fifth International Conference on Genetic and Evolutionary Computing,,,ICGEC '11,,IEEE Computer Society,,,,,,,"From the end of 2007, the open-source characteristic of Android platform has been the most competitive one in the smart phone market. According to recent statistics from Gartner, Android s market share in February 2010 is 3.9%, rises to 17.2% in August in the same year, and reaches 22.7% in February 2011, which only falls behind Nokia s by 14.9%. From its skyrocketing growth rate, it can be expected that Google s Android operating system would become the dominate mobile platform. However, high market share comes with problems. For instance, in March 2011, Lookout, an information security company shows Dorid Dream will make the Android phones become the media of Bot Network. The ever-changing criminal conduct continuously challenges how well the present digital forensics could react. Data acquisition is an important part in mobile phone forensics. As the mobile forensic software becomes more mature and popular, most of them are now facing the same problem where the internal collecting tools must be installed in the mobile phones first so the data collecting could be started in turn. Whether this process is against the concept of protecting the original crime scene in forensics is questionable. A new concept called Live SD is therefore introduced in this work. It utilizes the concept of data recovery to perform physical data acquisition in Android smart phones. This data-acquisition methodology differs from the current ones in most mobile forensics software and can effectively perform the recovery of the deleted data.",,"Forensic, Android, Recovery, Smart Phone, Live SD",,,,,,,,,,,,,,,
7,,Choi2021,"Choi, Y. L.; Kim, J.-W.",Development of a moral ai agent for recognition of hazardous or violent situations at home and providing appropriate response,"Journal of Institute of Control, Robotics and Systems",27,7,,459-467,2021,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110576841&doi=10.5302%2fJ.ICROS.2021.21.0028&partnerID=40&md5=6dd1b5989bd43c76ff8e2363fce8b80a,,,,,,,,,,,,,"This paper introduces an AI agent that can recognize any hazardous or violent situation that may occur at a user’s home and notifies the user about the risk in advance before the consequential accident occurs. The AI agent analyzes a current situation based on the 5W1H principle to determine whether the user is in a dangerous, immoral, or illegal situation at home, according to the user’s age group. This AI agent has been developed by adding a new abnormal behavior code into the existing behavioral classification code to provide appropriate advice or response in the case of an abnormal situation. This agent is implemented using the open source cognitive agent architecture, chatbot engine, and database management system. The abnormal situation-recognition performance of the developed agent was validated through textual conversations between the agent and kids. © ICROS 2021.",,,,,,,,,,,,,,,,,
10,,Choueib2019,"Choueib, S.; Pinter, C.; Lasso, A.; Fillion-Robin, J.-C.; Vimort, J.-B.; Martin, K.; Fichtinger, G.",Evaluation of 3D slicer as a medical virtual reality visualization platform,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,10951,,,,2019,,cited By 3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068940860&doi=10.1117%2f12.2513053&partnerID=40&md5=b25226a3d9c47c96f02ac28897a156e8,,,,,,,,,,,,,"PURPOSE: There is a lack of open-source or free virtual reality (VR) software that can be utilized for research by medical professionals and researchers. We propose the design and implementation of such software. We also aim to assess the feasibility of using VR as a modality for navigating 3D visualizations of medical scenes. METHODS: To achieve our goal, we added VR capabilities to the open-source medical image analysis and visualization platform, 3D Slicer. We designed the VR extension by basing the software architecture on VTK's vtkRenderingOpenVR software module. We extended this module by adding features such as full interactivity between 3D Slicer and the VR extension during VR use, variable volume rendering quality based on user headset motion etc. Furthermore, the VR extension was tested in a feasibility study in which participants were asked to complete specific tasks using bot the conventional mouse-monitor and VR method. For this experiment, we used 3D Slicer to create two virtual settings, each having an associated task. Participants were asked to maneuver the virtual settings using two approaches, the conventional method, using mouse and monitor, and VR using the head-mounted-display and controllers. The main outcome measure was total time to complete the task. RESULTS: We developed a VR extension to 3D Slicer-SlicerVirtualReality (SlicerVR). Additionally, from the experiment we conducted we found that when comparing mean completion times, participants, when using VR, were able to complete the first task 3 minutes and 28 seconds quicker than the mouse and monitor method (4 minutes and 24 seconds vs. 7 minutes and 52 seconds, respectively); and the second task 1 minute and 20 seconds quicker (2 minutes and 37 seconds, vs. 3 minutes and 57 seconds, respectively). CONCLUSION: We augmented the 3D Slicer platform with virtual reality capabilities. Experiments results show a considerable improvement in time required to navigate and complete tasks within complex virtual scenes compared to the traditional mouse and monitor method. © 2019 SPIE.",,,,,,,,,,,,,,,,,
7,,Chu2011,"Chu, H.-C.; Deng, D.-J.; Chao, H.-C.",The digital forensics of portable electronic communication devices based on a Skype im session of a pocket PC for NGC,Wireless Communications and Mobile Computing,11,2,,211-225,2011,,cited By 3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951999328&doi=10.1002%2fwcm.954&partnerID=40&md5=f24ac6989107093cf1f8d17525cd9fb1,,,,,,,,,,,,,"Portable electronic communication devices can be used for many purposes and they are capable of integrating with ubiquitous computing (UC) infrastructures to carry on mobile multimedia communications. As those devices become prevalent, they incur potential network security threatening to organizations. Nowadays, the Skype is the most popular P2P VoIP application program, which is being used by millions of global users to place IP phone calls, transfer files, or communicate via instant messaging (IM). This phenomenon already generates imminent network security issues that are indispensable to digital forensics researchers or the law enforcement agencies worldwide. Cellular phones, smart phones, and personal digital assistants (PDAs) are the representative ones of those devices and there are some open sources or commercial software toolkits that can be utilized to proceed the forensics investigation concerning the electronic crimes in next generation communications (NGCs). A case review was conducted to illustrate the hidden digital trails within the PDA from the Registry of the Windows Mobile and volatile data in the RAM to discover the possible network security leakage scenarios that resulted in the vandalism of intangible digital assets of the organization. Copyright © 2010 John Wiley & Sons, Ltd.",,,,,,,,,,,,,,,,,
7,,Cibin2006,"Cibin, Fabio; Lanzoni, Massimo; Benini, Luca; Ricco, Bruno",Linux-Based Data Acquisition and Processing on Palmtop Computer,IEEE Transactions on Instrumentation and Measurement,55,6,Dec,2039-2044,2006,,,,,,,,,,,,,,,,This paper presents an original implementation of a Personal Computer Memory Card International Association data acquisition card on a palmtop computer. The acquisition system is based on the Linux operating system and free drivers for the acquisition board. The system has been used to develop a demo application consisting in a phonometer able to sample 1024 samples at 100 ksamples/s and compute the fast Fourier transform of the signal at a maximum rate of 6 frame/s,,Personal digital assistants;Data acquisition;Hardware;Operating systems;Data processing;Instruments;Wearable computers;Application software;Patient monitoring;Biomedical monitoring;Data acquisition (DAQ);data processing;palmtop computers;spectrum measurements;virtual instrumentation,,,,,,,,,,,,,,,
6,,Ciupe2019,"Ciupe, Aurelia; Mititica, Doru Florin; Meza, Serban; Orza, Bogdan",Learning Agile with Intelligent Conversational Agents,,,,April,1100-1107,2019,,,,2019 IEEE Global Engineering Education Conference (EDUCON),,,,,,,,,,,,"Conversational agents assist traditional teaching-learning instruments in proposing new designs for knowledge creation and learning analysis, across organizational environments. Means of building common educative background in both industry and academic fields become of interest for ensuring educational effectiveness and consistency. Such a context requires transferable practices and becomes the basis for the Agile adoption into Higher Education, at both curriculum and operational levels. The current work proposes a model for delivering Agile Scrum training through an assistive web-based conversational service, where analytics are collected to provide an overview on learners' knowledge path. Besides its specific applicability into Software Engineering (SE) industry, the model is to assist the academic SE curriculum. A user-acceptance test has been carried out among 200 undergraduate students and patterns of interaction have been depicted for 2 conversational strategies.",,Training;Software engineering;Software;Multimedia systems;Laboratories;Planning;conversational agent;learning analytics;Agile Scrum training;higher education;educational design,,,,,,,,,,,,,,,
6,,Clark2008,"Clark, Renee M.; Besterfield-Sacre, Mary; Shuman, Larry J.; Yildirim, Tuba Pinar",Work in progress - assessment of MEA problem solving processes used by engineering students,,,,Oct,S2B-13-S2B-14,2008,,,,2008 38th Annual Frontiers in Education Conference,,,,,,,,,,,,"We are developing model eliciting activities (MEAs) for use in undergraduate engineering education to enhance problem solving ability as well as to provide a means for assessment. The MEA construct, originally developed by math educators, involves a student team developing an analytical model to solve a real-world, open-ended engineering problem and providing formal documentation of the solution procedure for reusability. As we extend these to juniors and seniors, we are evolving both the process and the constructs. In order to study the relationship of MEAs to the problem solving process, we are assessing this process using handheld electronic devices (PDAs) and work measurement software, which capture the predefined steps taken by the students. We have completed a pilot study using PDAs, which showed this approach to be feasible. The design of the pilot study, lessons learned, data obtained, and outcomes requiring additional investigation will be discussed. Much of the data showed a progression through multiple steps of the problem solving process in sequential order.",,Problem-solving;Engineering students;Personal digital assistants;Testing;Engineering education;Software measurement;Industrial engineering;Documentation;Road accidents;Mathematical model;Assessment;Engineering education;MEA;Model Eliciting Activity;Problem solving process,,,,,,,,,,,,,,,
6,,Cocar2017,"Cocar, Matt; Harris, Reneisha; Khmelevsky, Youry",Utilizing Minecraft bots to optimize game server performance and deployment,,,,April,1-5,2017,,,,2017 IEEE 30th Canadian Conference on Electrical and Computer Engineering (CCECE),,,,,,,,,,,,"To simulate a realistic game server environment, we utilized open source software libraries to create automated players (bots) for the globally renowned online game: Minecraft. The fairly simple design of the Minecraft server as well as its massive development and support community facilitates considerable research and analysis prospects. As such, the goal of our investigation was to emulate and then analyze the real-world stress that game-players actively create on hosting servers. We achieved this through creating scripted movements of Minecraft characters that are connected to the Minecraft server(s) hosted within our virtual infrastructure. After this was achieved, we explored altering the methods of running the active Minecraft servers to control CPU load; we primarily explored manually setting the CPU affinity of the Minecraft server thread to run on specific virtual cores. Collecting CPU workload data while the bots were running around on our servers gave us consistent and predictable readings that confirmed the success of our methods we used to control performance. Evidence of this is illustrated through the use of graphs and other experimental data outlined in the body of this document.",,Servers;Games;Computers;Testing;Conferences;Libraries;Virtual machining,,,,,,,,,,,,,,,
7,,Costa2012,"Costa, F.; Silva, J. N.; Veiga, L.; Ferreira, P.",Large-scale volunteer computing over the internet,Journal of Internet Services and Applications,3,3,,329-346,2012,,cited By 11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888618350&doi=10.1007%2fs13174-012-0072-0&partnerID=40&md5=ab15e4ff2e6c9f7e8b7e169569a5b246,,,,,,,,,,,,,"Cycle sharing over the Internet has increased in popularity during the last decade, with increasingly powerful machines being made available to existing projects. In this paper, we present GiGi-MR, a framework that allows nonexpert users to run CPU-intensive jobs on top of volunteer resources over the Internet. GiGi-MR has several distinctive features: it allows non-expert users to easily partition their jobs in several parallel tasks; such Bag-of-Tasks (BoT) are executed in parallel as a set of MapReduce applications; the volunteer resources that provide the best match for the tasks being executed are chosen (using attenuated bloom filters); it provides a portable checkpointing fault-tolerance mechanism based on virtualization; it does not rely exclusively on a central server (or servers) at all times (thus minimizing the bottleneck effect); it deals with malicious participants (possibly byzantine) using an efficient partial replication mechanism to validate the results obtained; and it is compatible with BOINC (one of the most popular open-source software platforms for computing using volunteered resources). We describe GiGi-MR's architecture and evaluate its performance by executing several MapReduce applications on a wide area testbed. Furthermore, we use micro-benchmarks to assess each one of GiGi-MR's components independently. The system's overhead is minimal. When compared to an unmodified volunteer computing system, GiGi-MR obtains a performance increase of over 60% in application turnaround time, while reducing the bandwidth used by an order of magnitude. © The Brazilian Computer Society 2012.",,,,,,,,,,,,,,,,,
6,,Crisnapati2018,"Crisnapati, Padma Nyoman; Novayanti, Putu Devi; Indrawan, Gde; Aryanto, Kadek Yota Ernanda; Wibawa, Made Satria",Accuracy Analysis of Pasang Aksara Bot using Finite State Automata Transliteration Method,,,,Aug,1-6,2018,,,,2018 6th International Conference on Cyber and IT Service Management (CITSM),,,,,,,,,,,,"Bali is a world tourism destination for its cultural riches. Balinese culture is a legacy of the world's riches that must be preserved. In the development of the education world and technology today, there have been many efforts done to preserve Balinese culture such as researches used to document Balinese cultures. One study for the preservation of Balinese culture in the field of technology is the Balinese script transliteration application. Balinese script is one of the traditional Indonesian archipelago that created in Bali. Because its use is limited to a narrow scope in everyday use, most Balinese script has been replaced with Latin letters. Therefore this research is focused on preserving Balinese script using robot technology. The robot that developed in this research is a robot that can write Balinese script using a design resembles a human arm. Its connected to the computer using USB and mDraw a graphics program developed based on open source python. mDraw will give input to the robot in .svg format that generated by the Pasang Aksara transliteration application. This .svg or vector as input mDraw will give command to the robot to write the transliteration result on a piece of paper. In this paper a new idea has been proposed to implement the robot on cultural preservation and Balinese script education. This robotic arm was successfully tested and the result are 60% (21 glyph) categorized as very good, 37.14% (13 glyph) categorized as good, and 2.86% (1 glyph) enough. And for the Pasang Aksara transliteration application obtained the result of accuracy 75,73 % (of 861 words) for the correct test count and 24,7 % (of 276 words) for wrong test, count from 1137 word on thirteen kinds of special word in transliteration rules. For future development, replacement servo motors are located on the pen to make the process on the ups and downs of the pen smoother for more accurate Balinese script writing by the robot. The FSA method used is still constrained by some special words that failed to be transliterated correctly, so it is necessary to develop a certain algorithm so the accuracy of transliteration can reach 100%.",,Writing;Automata;Manipulators;Testing;Education;Cultural differences;Robot;Balinese script;Finite State Automata;Education;Cultural Preservation,,,,,,,,,,,,,,,
10,,Cucurnia2021,"Cucurnia, D.; Rozanov, N.; Sucameli, I.; Ciuffoletti, A.; Simi, M.",MATILDA: Multi-annotator multi-language interactive light-weight dialogue annotator,"EACL 2021 - 16th Conference of the European Chapter of the Association for Computational Linguistics, Proceedings of the System Demonstrations",,,,32-39,2021,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107276733&partnerID=40&md5=7e051fe9d0bca352aecea367b6f4b2c7,,,,,,,,,,,,,"Dialogue Systems are becoming ubiquitous in various forms and shapes, from virtual assistants (like Siri, Alexa and various chat-bots) to customer support systems embedded within websites. Recent publications and advancements with natural language modelling have opened up NLP (and its more advanced applications like conversational AI) to a wider audience. Unfortunately, the lack of labelled data within this field remains a significant barrier and so we have developed MATILDA (the first multi-annotator, multi-language dialogue annotation tool) as an initial contribution to help the community overcome this barrier. MATILDA is a tool for creating high-quality corpora via a user-friendly interface so as to facilitate the annotation of dialogues, resolve inter-annotator disagreement and manage multiple users at scale. We have evaluated the tool on ease of use, annotation speed and inter-annotation resolution for both experts and novices and can confidently conclude that MATILDA offers a novel, streamlined, end-to-end solution to dialogue annotation and is intuitive enough to use, even for a non-technical audience. The tool is completely open-sourced at https://github.com/wluper/matilda and is easily adaptable to any language. We are also providing a complementary tutorial video. © 2021 Association for Computational Linguistics",,,,,,,,,,,,,,,,,
6,,Cugola1999,"Cugola, G.; Ghezzi, C.",Design and implementation of PROSYT: a distributed process support system,,,,June,32-39,1999,,,,Proceedings. IEEE 8th International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises (WET ICE'99),,,,,,,,,,,,"The paper describes the design and implementation of a process support system (PROSYT), which is intended to provide guidance in performing business processes and cooperation among people over a local or geographically distributed network. In particular it can be used as a process-centered software engineering environment (PSEE) to support distributed software development. Our main purpose is to describe how complex applications of this kind can be developed systematically. In particular, how the requirements of high flexibility, reconfigurability, scalability, and efficiency demanded by these applications can be met through appropriate design choices.",,Application software;Scalability;Programming;Computer networks;Personal digital assistants;Computer architecture;Design engineering;Humans;Software engineering;Distributed computing,,,,,,,,,,,,,,,
6,,Cysneiros2003,"Cysneiros, L. M.; Kushniruk, A.",Bringing usability to the early stages of software development,,,,Sep.,359-360,2003,,,,"Proceedings. 11th IEEE International Requirements Engineering Conference, 2003.",,,,,,,,,,,,"Usability has been increasingly recognized as an important factor in the acceptance of systems by end users. Usability requirements can be considered to be requirements that capture the usability goals and associated measures for a system under development. In order to ensure usable systems we must ensure identification of appropriate requirements regarding these critical aspects of systems. There is a basic need for systematic approaches to reason, model and analyze usability from the early stages of the software development. Furthermore, it is necessary to develop a usable ontology or classification of measurable aspects of usability that can be used to aid in the specification of usability requirements. These ontologies should be represented in a way that facilitates their use as guidelines for the requirements elicitation process. We build on review of literature in the area of human-computer interaction and of usability engineering in developing a catalog of aspects of usability that can be considered during requirements gathering. This catalogue is used to guide the requirements engineer through alternatives for achieving usability. The approach is based on the use of the i* framework, having usability modeled as a special type of goal.",,Usability;Programming;Ontologies;Software safety;Personal digital assistants;Mathematics;Statistics;Guidelines;Software performance;Information retrieval,,,,,,,,,,,,,,,
7,,Daniel2019,"Daniel, G.; Cabot, J.; Deruelle, L.; Derras, M.",Multi-platform Chatbot Modeling and Deployment with the Jarvis Framework,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),11483 LNCS,,,177-193,2019,,cited By 7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067359420&doi=10.1007%2f978-3-030-21290-2_12&partnerID=40&md5=636676c2cfac8155b8929d5a2a7985c0,,,,,,,,,,,,,"Chatbot applications are increasingly adopted in various domains such as e-commerce or customer services as a direct communication channel between companies and end-users. Multiple frameworks have been developed to ease their definition and deployment. They typically rely on existing cloud infrastructures and artificial intelligence techniques to efficiently process user inputs and extract conversation information. While these frameworks are efficient to design simple chatbot applications, they still require advanced technical knowledge to define complex conversations and interactions. In addition, the deployment of a chatbot application usually requires a deep understanding of the targeted platforms, increasing the development and maintenance costs. In this paper we introduce the Jarvis framework, that tackles these issues by providing a Domain Specific Language (DSL) to define chatbots in a platform-independent way, and a runtime engine that automatically deploys the chatbot application and manages the defined conversation logic. Jarvis is open source and fully available online. &#x00A9; 2019, Springer Nature Switzerland AG.",,,,,,,,,,,,,,,,,
7,,Daniel2020,"Daniel, Gwendal; Cabot, Jordi; Deruelle, Laurent; Derras, Mustapha",Xatkit: A Multimodal Low-Code Chatbot Development Framework,IEEE Access,8,,,15332-15346,2020,,,,,,,,,,,,,,,,"Chatbot (and voicebot) applications are increasingly adopted in various domains such as e-commerce or customer services as a direct communication channel between companies and end-users. Multiple frameworks have been developed to ease their definition and deployment. While these frameworks are efficient to design simple chatbot applications, they still require advanced technical knowledge to define complex interactions and are difficult to evolve along with the company needs (e.g. it is typically impossible to change the NL engine provider). In addition, the deployment of a chatbot application usually requires a deep understanding of the targeted platforms, especially back-end connections, increasing the development and maintenance costs. In this paper, we introduce the Xatkit framework. Xatkit tackles these issues by providing a set of Domain Specific Languages to define chatbots (and voicebots and bots in general) in a platform-independent way. Xatkit also comes with a runtime engine that automatically deploys the chatbot application and manages the defined conversation logic over the platforms of choice. Xatkit's modular architecture facilitates the separate evolution of any of its components. Xatkit is open source and fully available online.",,Chatbot;Engines;Companies;Runtime;C languages;Training;Modeling;DSL;chatbot design;chatbot deployment,,,,,,,,,,,,,,,
6,,Daniel2021,"Daniel, Gwendal; Cabot, Jordi",The Software Challenges of Building Smart Chatbots,,,,May,324-325,2021,,,,2021 IEEE/ACM 43rd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),,,,,,,,,,,,Chatbots are becoming complex software artifacts that require a high-level of expertise in a variety of technical domains. This technical briefing will cover the software engineering challenges of developing high-quality chatbots. Attendees will be able to create their own bots leveraging the open source chatbot development platform Xatkit.,,Buildings;Chatbot;Software;Software engineering;chatbot;voicebot;bot,,,,,,,,,,,,,,,
7,,Daswani2020,"Daswani, M.; Desai, K.; Patel, M.; Vani, R.; Eirinaki, M.",CollegeBot: A Conversational AI Approach to Help Students Navigate College,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12424 LNCS,,,44-63,2020,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094159735&doi=10.1007%2f978-3-030-60117-1_4&partnerID=40&md5=3db9ee151a357b57d05182dcede68358,,,,,,,,,,,,,"In an organization as big as a university that has many distinct departments and administrative bodies, it becomes almost impossible to easily obtain information online or by other means. Assistance over the phone or in-person is often limited to office hours and the information online is scattered through numerous (often nested) web pages, often independently administered and maintained by each sub-division. In this work, we present CollegeBot, a conversational AI agent that uses natural language processing and machine learning to assist visitors of a university’s web site in easily locating information related to their queries. We discuss how we create the knowledge base by collecting and appropriately preprocessing information that is used to train the conversational agent for answering domain-specific questions. We have evaluated two different algorithms for training the conversational model for the chatbot, namely a semantic similarity model and a deep learning one leveraging Sequence-to-Sequence learning model. The proposed system is able to capture the user’s intent and switch context appropriately. It also leverages the open source AIML chatbot ALICE to answer any generic (non domain-specific) questions. We present a proof-of-concept prototype for San Jose State University, to demonstrate how such an approach can be easily adopted by other academic institutions as well. © 2020, Springer Nature Switzerland AG.",,,,,,,,,,,,,,,,,
7,,Davies2021,"Davies, J. N.; Verovko, M.; Verovko, O.; Solomakha, I.",Personalization of e-learning process using ai-powered chatbot integration,Advances in Intelligent Systems and Computing,1265 AISC,,,209-216,2021,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091186208&doi=10.1007%2f978-3-030-58124-4_20&partnerID=40&md5=0de7c101d03d4ced87337896408e88da,,,,,,,,,,,,,"Personalized learning path is considered as one of the most effective way to archive the best outcomes from the eLearning process. The introduction of artificial intelligence (AI) and machine learning (ML) into the educational process is one of the most important trends of modern eLearning since it can provide flexibility of learning and can performing adaptation of the learning process based on the personal needs of each user. AI technologies are positioned as the best solution for the analysis of each learner’s personal requirements and for generating a corresponding learning path with personalized educational content. One of the possible outcomes of introducing AI and ML into the eLearning process is the usage of AI-powered chatbots. Chatbots could significantly simplify the learning process by providing learners with the resources they are looking for which have previously been tailored for their learning personal characteristics. The integration of chatbots provides answers corresponding to the personal requirements of each learner into the eLearning system and could cover the gap in real-time consulting, which is not available with offline courses. Development of a chatbot is a trivial task for modern software engineering. However the determination of a chatbot behavior and its source dictionary is a complex task that requires development and implementation of additional analytic algorithms and models. This paper describes an approach for the design and development of a chatbot for an eLearning system with the personalization of consulting materials in-line with the learner’s personal needs. © The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2021.",,,,,,,,,,,,,,,,,
7,,Debnath2020,"Debnath, S.; Spoletini, P.",Designing a Virtual Client for Requirements Elicitation Interviews,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),12045 LNCS,,,160-166,2020,,cited By 1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083990480&doi=10.1007%2f978-3-030-44429-7_12&partnerID=40&md5=cd7633fd3caeb0db1c28e19c4bab941c,,,,,,,,,,,,,"[Context and motivation] Role-playing offer experiential learning through the simulation of real-world scenarios; for this reason, it is widely used in software engineering education. In Requirements Engineering, role-playing is a popular way to provide students hands-on experience with requirements elicitation interviews. [Problem] However, managing a role-playing activity to simulate requirements elicitation interviews in a class is time consuming, as it often requires pairing students with student assistants or fellow classmates who act as either customers or requirement analysts as well as creating and maintaining the interview schedules between the actors. To make the adoption of role-playing activities in a class feasible, there is a need to develop a solution to reduce instructors’ workload. [Principal ideas] To solve this problem we propose the use of VIrtual CustOmer (VICO), an intent-based, multimodal, conversational agent. VICO offers an interview experience comparable to talking to a human and provides a transcript of the interview annotated with the mistakes students made in it. The adoption of VICO will eliminate the need to schedule interviews as the students can interact with it in their free time. Moreover, the transcript of the interview allows students to evaluate their performance to refine and improve their interviewing skills. [Contribution] In this research preview, we show the architecture of VICO and how it can be developed using existing technologies, we provide an online rule-based initial prototype and show the practicality and applicability of this tool through an exploratory study. © 2020, Springer Nature Switzerland AG.",,,,,,,,,,,,,,,,,
6,,Deepika2020,"Deepika, Kanakamedala; Tilekya, Veeranki; Mamatha, Jatroth; Subetha, T.",Jollity Chatbot- A contextual AI Assistant,,,,Aug,1196-1200,2020,,,,2020 Third International Conference on Smart Systems and Inventive Technology (ICSSIT),,,,,,,,,,,,"Chatbot is a software application that can stimulate a conversation via text, instead of direct contact with a live human through messaging applications, websites and mobile applications. Chatbot applications help to make interactions between people and services by enhancing the customer experience. Chatbot is widely used in the areas of food ordering, ecommerce and transportation, etc. Practically it is not possible to find a permanent companion to make us happy all the time. Hence, this paper has planned to design a jollity chatbot to talk with the human users and make sure that it entertains and give suggestion and motivation in tough times. The jollity chatbot is implemented in Rasa, an open -source conversational AI framework and it is easy to customize. The proposed method has added 12 intents with each more than 8 text examples constituting a total of 100 input samples in nlu.md and their response in domain.yml. The flow of interactions is given in stories.md. The jollity chatbot is deployed in Telegram using ngrok and the server URL details and the access token are given in the credentials.yml. The system is experimented with various evaluation measures like accuracy of the intents, accuracy of the stories and the confusion matrix to shows that the proposed jollity chatbot system is more robust and can identify the user intents appropriately.",,Stress;Conferences;Artificial intelligence;Videos;Training data;Task analysis;Facebook;Chatbot;Contextual AI Assistant;Rasa;Rasa NLU;Rasa Core,,,,,,,,,,,,,,,
6,,DeMartin2008,"De Martin, Juan Carlos; Glorioso, Andrea",The Neubot project: A collaborative approach to measuring internet neutrality,,,,June,1-4,2008,,,,2008 IEEE International Symposium on Technology and Society,,,,,,,,,,,,"The Internet was designed to be neutral with respect to kinds of applications, senders and destinations. Such design choice made very fast packet switching possible, while preserving, at the same time, strong openness towards unforeseen uses of the Internet Protocol. The result has been an extraordinary outburst of innovation, as well as a level playing field for citizens, associations and companies worldwide. With the advent of ldquodeep packet inspectionrdquo technology, however, fine-grained discrimination of Internet flows is now possible, be that for economic or other reasons. Collecting quantitative data on the behavior of telecommunications providers with respect to traffic discrimination thus becomes crucial, particularly at a time when policy changes are widely discussed. The ldquoNetwork Neutrality Botrdquo (Neubot) project is based on a lightweight, open source computer program, the Neubot, that, downloaded and installed by Internet users, performs distributed measurements of the traffic characteristics of segments of the global Internet. The collected data will allow constant monitoring of the actual state of the Internet, enabling both a deeper understanding of such crucial infrastructure and a more reliable basis for discussing network neutrality policies.",,Collaboration;Network neutrality;Internet;Telecommunication traffic;Packet switching;Protocols;Technological innovation;Distributed computing;Telecommunication computing;Performance evaluation,,,,,,,,,,,,,,,
